# =========================================================================
# 808-bass — pitched single notes. ~200 prompts.
# Style mix (generated lines): ~74% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
mellow 808 sub bass one shot, single note, trap character, tight controlled sub, saturated, no chord, no melody, no loop
soundtrack bright 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, dry, no chord, no melody, no loop
ambient techno airy 808 sub bass one shot, single note, pure sine sub, slow sub tail, dry, no chord, no melody, no loop
lush 808 sub bass one shot, single note, glitch character, gritty saturated sub, clean studio sample, no chord, no melody, no loop
techno 808 sub bass one shot, single note, deep tuned low end, long smooth decay, saturated, no chord, no melody, no loop
ambient techno vintage 808 sub bass one shot, single note, deep tuned low end, boomy sustain, dry, no chord, no melody, no loop
dusty 808 sub bass one shot, single note, future bass character, pure sine sub, dry, no chord, no melody, no loop
glassy 808 sub bass one shot, single note, drum and bass character, gritty saturated sub, tape-saturated, no chord, no melody, no loop
bright 808 sub bass one shot, single note, boom bap character, tight controlled sub, clean studio sample, no chord, no melody, no loop
glassy 808 sub bass one shot, single note, boom bap character, pure sine sub, analog, no chord, no melody, no loop
trance metallic 808 sub bass one shot, single note, gritty saturated sub, boomy sustain, dry, no chord, no melody, no loop
trance 808 sub bass one shot, single note, tight controlled sub, slow sub tail, compressed, no chord, no melody, no loop
deep house 808 sub bass one shot, single note, gritty saturated sub, long smooth decay, dry, no chord, no melody, no loop
tech house wide 808 sub bass one shot, single note, pure sine sub, slow sub tail, dry, no chord, no melody, no loop
minimal techno 808 sub bass one shot, single note, tight controlled sub, boomy sustain, mono-compatible, no chord, no melody, no loop
glassy 808 sub bass one shot, single note, progressive house character, deep tuned low end, vinyl-warmed, no chord, no melody, no loop
saturated 808 sub bass one shot, single note, drum and bass character, deep tuned low end, dry, no chord, no melody, no loop
glitch glassy 808 sub bass one shot, single note, deep tuned low end, boomy sustain, dry, no chord, no melody, no loop
techno 808 sub bass one shot, single note, pure sine sub, long smooth decay, analog, no chord, no melody, no loop
fat 808 sub bass one shot, single note, r&b character, gritty saturated sub, lo-fi, no chord, no melody, no loop
trance clean 808 sub bass one shot, single note, pure sine sub, boomy sustain, dry, no chord, no melody, no loop
chamber airy 808 sub bass one shot, single note, gritty saturated sub, fast decay, dry, no chord, no melody, no loop
saturated 808 sub bass one shot, single note, 2-step character, gritty saturated sub, compressed, no chord, no melody, no loop
glitch 808 sub bass one shot, single note, pure sine sub, boomy sustain, clean studio sample, no chord, no melody, no loop
uk garage hollow 808 sub bass one shot, single note, gritty saturated sub, boomy sustain, dry, no chord, no melody, no loop
mellow 808 sub bass one shot, single note, deep house character, gritty saturated sub, vinyl-warmed, no chord, no melody, no loop
phonk mellow 808 sub bass one shot, single note, gritty saturated sub, boomy sustain, dry, no chord, no melody, no loop
melodic techno glassy 808 sub bass one shot, single note, gritty saturated sub, fast decay, dry, no chord, no melody, no loop
big room woody 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, dry, no chord, no melody, no loop
r&b 808 sub bass one shot, single note, deep tuned low end, fast decay, analog, no chord, no melody, no loop
breakbeat 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, mono-compatible, no chord, no melody, no loop
ambient 808 sub bass one shot, single note, gritty saturated sub, boomy sustain, compressed, no chord, no melody, no loop
future bass 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, analog, no chord, no melody, no loop
woody 808 sub bass one shot, single note, lo-fi hip-hop character, gritty saturated sub, lo-fi, no chord, no melody, no loop
dark 808 sub bass one shot, single note, dubstep character, tight controlled sub, compressed, no chord, no melody, no loop
phonk 808 sub bass one shot, single note, gritty saturated sub, long smooth decay, analog, no chord, no melody, no loop
electro 808 sub bass one shot, single note, pure sine sub, boomy sustain, analog, no chord, no melody, no loop
future bass crisp 808 sub bass one shot, single note, pure sine sub, slow sub tail, dry, no chord, no melody, no loop
aggressive 808 sub bass one shot, single note, electro character, pure sine sub, dry, no chord, no melody, no loop
ambient techno gritty 808 sub bass one shot, single note, deep tuned low end, slow sub tail, dry, no chord, no melody, no loop
gritty 808 sub bass one shot, single note, lo-fi hip-hop character, tight controlled sub, saturated, no chord, no melody, no loop
crisp 808 sub bass one shot, single note, chamber character, deep tuned low end, analog, no chord, no melody, no loop
phonk 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, lo-fi, no chord, no melody, no loop
mellow 808 sub bass one shot, single note, lo-fi hip-hop character, tight controlled sub, vinyl-warmed, no chord, no melody, no loop
big room 808 sub bass one shot, single note, deep tuned low end, fast decay, dry, no chord, no melody, no loop
trap edm 808 sub bass one shot, single note, pure sine sub, slow sub tail, lo-fi, no chord, no melody, no loop
smooth 808 sub bass one shot, single note, ambient techno character, deep tuned low end, analog, no chord, no melody, no loop
neo-soul hollow 808 sub bass one shot, single note, tight controlled sub, boomy sustain, dry, no chord, no melody, no loop
synthwave punchy 808 sub bass one shot, single note, tight controlled sub, long smooth decay, dry, no chord, no melody, no loop
detuned 808 sub bass one shot, single note, synthwave character, pure sine sub, lo-fi, no chord, no melody, no loop
dark 808 sub bass one shot, single note, synthwave character, pure sine sub, tape-saturated, no chord, no melody, no loop
lush 808 sub bass one shot, single note, synthwave character, tight controlled sub, vinyl-warmed, no chord, no melody, no loop
trap 808 sub bass one shot, single note, tight controlled sub, long smooth decay, filtered, no chord, no melody, no loop
dusty 808 sub bass one shot, single note, synthwave character, tight controlled sub, dry, no chord, no melody, no loop
ambient techno 808 sub bass one shot, single note, gritty saturated sub, boomy sustain, clean studio sample, no chord, no melody, no loop
electro detuned 808 sub bass one shot, single note, pure sine sub, boomy sustain, dry, no chord, no melody, no loop
phonk 808 sub bass one shot, single note, gritty saturated sub, boomy sustain, tape-saturated, no chord, no melody, no loop
glitch woody 808 sub bass one shot, single note, gritty saturated sub, long smooth decay, dry, no chord, no melody, no loop
wide 808 sub bass one shot, single note, trap character, deep tuned low end, analog, no chord, no melody, no loop
airy 808 sub bass one shot, single note, west coast character, pure sine sub, lo-fi, no chord, no melody, no loop
west coast bright 808 sub bass one shot, single note, deep tuned low end, fast decay, dry, no chord, no melody, no loop
mellow 808 sub bass one shot, single note, breakbeat character, deep tuned low end, filtered, no chord, no melody, no loop
wide 808 sub bass one shot, single note, tech house character, gritty saturated sub, mono-compatible, no chord, no melody, no loop
uk garage 808 sub bass one shot, single note, deep tuned low end, slow sub tail, dry, no chord, no melody, no loop
breakbeat glassy 808 sub bass one shot, single note, tight controlled sub, fast decay, dry, no chord, no melody, no loop
crisp 808 sub bass one shot, single note, progressive house character, gritty saturated sub, saturated, no chord, no melody, no loop
memphis 808 sub bass one shot, single note, pure sine sub, slow sub tail, tape-saturated, no chord, no melody, no loop
glassy 808 sub bass one shot, single note, future bass character, gritty saturated sub, clean studio sample, no chord, no melody, no loop
drum and bass 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, vinyl-warmed, no chord, no melody, no loop
future bass vintage 808 sub bass one shot, single note, gritty saturated sub, boomy sustain, dry, no chord, no melody, no loop
cloud rap detuned 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, dry, no chord, no melody, no loop
minimal techno bright 808 sub bass one shot, single note, pure sine sub, slow sub tail, dry, no chord, no melody, no loop
trance dark 808 sub bass one shot, single note, deep tuned low end, boomy sustain, dry, no chord, no melody, no loop
aggressive 808 sub bass one shot, single note, drum and bass character, gritty saturated sub, mono-compatible, no chord, no melody, no loop
aggressive 808 sub bass one shot, single note, dubstep character, gritty saturated sub, vinyl-warmed, no chord, no melody, no loop
wide 808 sub bass one shot, single note, phonk character, pure sine sub, mono-compatible, no chord, no melody, no loop
glassy 808 sub bass one shot, single note, neo-soul character, deep tuned low end, analog, no chord, no melody, no loop
2-step metallic 808 sub bass one shot, single note, deep tuned low end, boomy sustain, dry, no chord, no melody, no loop
progressive house wide 808 sub bass one shot, single note, tight controlled sub, fast decay, dry, no chord, no melody, no loop
glassy 808 sub bass one shot, single note, drill character, tight controlled sub, mono-compatible, no chord, no melody, no loop
phonk 808 sub bass one shot, single note, deep tuned low end, boomy sustain, saturated, no chord, no melody, no loop
big room 808 sub bass one shot, single note, gritty saturated sub, boomy sustain, clean studio sample, no chord, no melody, no loop
dark 808 sub bass one shot, single note, cloud rap character, tight controlled sub, mono-compatible, no chord, no melody, no loop
dusty 808 sub bass one shot, single note, trance character, deep tuned low end, vinyl-warmed, no chord, no melody, no loop
bright 808 sub bass one shot, single note, chamber character, pure sine sub, dry, no chord, no melody, no loop
dusty 808 sub bass one shot, single note, ambient techno character, pure sine sub, vinyl-warmed, no chord, no melody, no loop
crisp 808 sub bass one shot, single note, techno character, gritty saturated sub, vinyl-warmed, no chord, no melody, no loop
warm 808 sub bass one shot, single note, deep house character, gritty saturated sub, lo-fi, no chord, no melody, no loop
future bass aggressive 808 sub bass one shot, single note, pure sine sub, boomy sustain, dry, no chord, no melody, no loop
hardstyle 808 sub bass one shot, single note, pure sine sub, boomy sustain, saturated, no chord, no melody, no loop
big room 808 sub bass one shot, single note, gritty saturated sub, fast decay, compressed, no chord, no melody, no loop
punchy 808 sub bass one shot, single note, uk garage character, tight controlled sub, lo-fi, no chord, no melody, no loop
big room bright 808 sub bass one shot, single note, tight controlled sub, long smooth decay, dry, no chord, no melody, no loop
west coast hollow 808 sub bass one shot, single note, pure sine sub, slow sub tail, dry, no chord, no melody, no loop
west coast 808 sub bass one shot, single note, deep tuned low end, boomy sustain, mono-compatible, no chord, no melody, no loop
west coast crisp 808 sub bass one shot, single note, tight controlled sub, long smooth decay, dry, no chord, no melody, no loop
airy 808 sub bass one shot, single note, hardstyle character, tight controlled sub, dry, no chord, no melody, no loop
glassy 808 sub bass one shot, single note, acid techno character, deep tuned low end, dry, no chord, no melody, no loop
electro 808 sub bass one shot, single note, tight controlled sub, boomy sustain, saturated, no chord, no melody, no loop
warm 808 sub bass one shot, single note, trap character, tight controlled sub, vinyl-warmed, no chord, no melody, no loop
bright 808 sub bass one shot, single note, deep house character, tight controlled sub, dry, no chord, no melody, no loop
phonk mellow 808 sub bass one shot, single note, pure sine sub, slow sub tail, dry, no chord, no melody, no loop
neo-soul 808 sub bass one shot, single note, pure sine sub, long smooth decay, mono-compatible, no chord, no melody, no loop
future bass 808 sub bass one shot, single note, pure sine sub, long smooth decay, filtered, no chord, no melody, no loop
drum and bass 808 sub bass one shot, single note, tight controlled sub, boomy sustain, lo-fi, no chord, no melody, no loop
wide 808 sub bass one shot, single note, phonk character, tight controlled sub, lo-fi, no chord, no melody, no loop
phonk metallic 808 sub bass one shot, single note, tight controlled sub, long smooth decay, dry, no chord, no melody, no loop
big room glassy 808 sub bass one shot, single note, gritty saturated sub, boomy sustain, dry, no chord, no melody, no loop
ambient techno vintage 808 sub bass one shot, single note, deep tuned low end, long smooth decay, dry, no chord, no melody, no loop
dark 808 sub bass one shot, single note, trap edm character, gritty saturated sub, mono-compatible, no chord, no melody, no loop
deep house 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, lo-fi, no chord, no melody, no loop
warm 808 sub bass one shot, single note, 2-step character, tight controlled sub, mono-compatible, no chord, no melody, no loop
tech house detuned 808 sub bass one shot, single note, pure sine sub, fast decay, dry, no chord, no melody, no loop
boom bap 808 sub bass one shot, single note, tight controlled sub, fast decay, vinyl-warmed, no chord, no melody, no loop
wide 808 sub bass one shot, single note, drill character, tight controlled sub, clean studio sample, no chord, no melody, no loop
memphis 808 sub bass one shot, single note, tight controlled sub, long smooth decay, analog, no chord, no melody, no loop
electro 808 sub bass one shot, single note, deep tuned low end, slow sub tail, vinyl-warmed, no chord, no melody, no loop
saturated 808 sub bass one shot, single note, acid techno character, gritty saturated sub, dry, no chord, no melody, no loop
hardstyle 808 sub bass one shot, single note, gritty saturated sub, boomy sustain, filtered, no chord, no melody, no loop
trap edm mellow 808 sub bass one shot, single note, gritty saturated sub, fast decay, dry, no chord, no melody, no loop
trap 808 sub bass one shot, single note, tight controlled sub, fast decay, tape-saturated, no chord, no melody, no loop
drum and bass 808 sub bass one shot, single note, gritty saturated sub, boomy sustain, mono-compatible, no chord, no melody, no loop
world 808 sub bass one shot, single note, deep tuned low end, fast decay, mono-compatible, no chord, no melody, no loop
punchy 808 sub bass one shot, single note, memphis character, pure sine sub, dry, no chord, no melody, no loop
trance 808 sub bass one shot, single note, tight controlled sub, boomy sustain, tape-saturated, no chord, no melody, no loop
memphis fat 808 sub bass one shot, single note, gritty saturated sub, fast decay, dry, no chord, no melody, no loop
dusty 808 sub bass one shot, single note, melodic techno character, gritty saturated sub, dry, no chord, no melody, no loop
mellow 808 sub bass one shot, single note, hardstyle character, gritty saturated sub, dry, no chord, no melody, no loop
synthwave wide 808 sub bass one shot, single note, deep tuned low end, fast decay, dry, no chord, no melody, no loop
vintage 808 sub bass one shot, single note, dubstep character, deep tuned low end, clean studio sample, no chord, no melody, no loop
lush 808 sub bass one shot, single note, glitch character, deep tuned low end, filtered, no chord, no melody, no loop
lo-fi hip-hop 808 sub bass one shot, single note, gritty saturated sub, fast decay, clean studio sample, no chord, no melody, no loop
trance detuned 808 sub bass one shot, single note, tight controlled sub, long smooth decay, dry, no chord, no melody, no loop
crisp 808 sub bass one shot, single note, glitch character, pure sine sub, vinyl-warmed, no chord, no melody, no loop
hardstyle 808 sub bass one shot, single note, gritty saturated sub, long smooth decay, vinyl-warmed, no chord, no melody, no loop
aggressive 808 sub bass one shot, single note, minimal techno character, deep tuned low end, analog, no chord, no melody, no loop
vintage 808 sub bass one shot, single note, drill character, tight controlled sub, analog, no chord, no melody, no loop
electro 808 sub bass one shot, single note, deep tuned low end, boomy sustain, vinyl-warmed, no chord, no melody, no loop
boom bap vintage 808 sub bass one shot, single note, gritty saturated sub, slow sub tail, dry, no chord, no melody, no loop
glassy 808 sub bass one shot, single note, boom bap character, deep tuned low end, mono-compatible, no chord, no melody, no loop
