# =========================================================================
# timpani — pitched single notes. ~200 prompts.
# Style mix (generated lines): ~15% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
r&b crisp timpani one shot, single note, tuned struck note, resonant decay, dry, no chord, no melody, no untuned drum, no loop
dusty timpani one shot, single note, ambient character, clear pitched strike, compressed, no chord, no melody, no untuned drum, no loop
electro gritty timpani one shot, single note, resonant pitched hit, natural decay, dry, no chord, no melody, no untuned drum, no loop
soundtrack aggressive timpani one shot, single note, tuned struck note, ringing tail, dry, no chord, no melody, no untuned drum, no loop
vintage timpani one shot, single note, ambient character, deep tuned tone, mono-compatible, no chord, no melody, no untuned drum, no loop
trap timpani one shot, single note, clear pitched strike, ringing tail, dry, no chord, no melody, no untuned drum, no loop
dusty timpani one shot, single note, cloud rap character, tuned struck note, dry, no chord, no melody, no untuned drum, no loop
woody timpani one shot, single note, orchestral character, resonant pitched hit, dry, no chord, no melody, no untuned drum, no loop
lo-fi hip-hop timpani one shot, single note, resonant pitched hit, natural decay, dry, no chord, no melody, no untuned drum, no loop
dark timpani one shot, single note, folk character, clear pitched strike, saturated, no chord, no melody, no untuned drum, no loop
world dark timpani one shot, single note, tuned struck note, natural decay, dry, no chord, no melody, no untuned drum, no loop
woody timpani one shot, single note, classical character, deep tuned tone, clean studio sample, no chord, no melody, no untuned drum, no loop
saturated timpani one shot, single note, west coast character, tuned struck note, lo-fi, no chord, no melody, no untuned drum, no loop
woody timpani one shot, single note, cinematic character, resonant pitched hit, lo-fi, no chord, no melody, no untuned drum, no loop
cinematic timpani one shot, single note, resonant pitched hit, controlled sustain, filtered, no chord, no melody, no untuned drum, no loop
jazz clean timpani one shot, single note, resonant pitched hit, resonant decay, dry, no chord, no melody, no untuned drum, no loop
hardstyle timpani one shot, single note, deep tuned tone, resonant decay, saturated, no chord, no melody, no untuned drum, no loop
detuned timpani one shot, single note, classical character, clear pitched strike, analog, no chord, no melody, no untuned drum, no loop
drill timpani one shot, single note, tuned struck note, controlled sustain, compressed, no chord, no melody, no untuned drum, no loop
hip-hop detuned timpani one shot, single note, clear pitched strike, natural decay, dry, no chord, no melody, no untuned drum, no loop
metallic timpani one shot, single note, trap character, tuned struck note, vinyl-warmed, no chord, no melody, no untuned drum, no loop
chamber timpani one shot, single note, deep tuned tone, natural decay, lo-fi, no chord, no melody, no untuned drum, no loop
clean timpani one shot, single note, cloud rap character, tuned struck note, compressed, no chord, no melody, no untuned drum, no loop
saturated timpani one shot, single note, lo-fi hip-hop character, clear pitched strike, mono-compatible, no chord, no melody, no untuned drum, no loop
acid techno glassy timpani one shot, single note, resonant pitched hit, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
smooth timpani one shot, single note, drill character, deep tuned tone, analog, no chord, no melody, no untuned drum, no loop
hip-hop gritty timpani one shot, single note, clear pitched strike, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
world timpani one shot, single note, clear pitched strike, resonant decay, mono-compatible, no chord, no melody, no untuned drum, no loop
world timpani one shot, single note, resonant pitched hit, controlled sustain, analog, no chord, no melody, no untuned drum, no loop
folk timpani one shot, single note, clear pitched strike, controlled sustain, filtered, no chord, no melody, no untuned drum, no loop
mellow timpani one shot, single note, hip-hop character, deep tuned tone, clean studio sample, no chord, no melody, no untuned drum, no loop
world timpani one shot, single note, deep tuned tone, ringing tail, mono-compatible, no chord, no melody, no untuned drum, no loop
cinematic timpani one shot, single note, tuned struck note, resonant decay, analog, no chord, no melody, no untuned drum, no loop
classical timpani one shot, single note, clear pitched strike, ringing tail, compressed, no chord, no melody, no untuned drum, no loop
gritty timpani one shot, single note, world character, tuned struck note, compressed, no chord, no melody, no untuned drum, no loop
orchestral timpani one shot, single note, clear pitched strike, resonant decay, filtered, no chord, no melody, no untuned drum, no loop
drill hollow timpani one shot, single note, resonant pitched hit, natural decay, dry, no chord, no melody, no untuned drum, no loop
punchy timpani one shot, single note, big room character, resonant pitched hit, dry, no chord, no melody, no untuned drum, no loop
ambient warm timpani one shot, single note, deep tuned tone, natural decay, dry, no chord, no melody, no untuned drum, no loop
hollow timpani one shot, single note, world character, deep tuned tone, lo-fi, no chord, no melody, no untuned drum, no loop
tech house lush timpani one shot, single note, clear pitched strike, natural decay, dry, no chord, no melody, no untuned drum, no loop
classical timpani one shot, single note, deep tuned tone, natural decay, tape-saturated, no chord, no melody, no untuned drum, no loop
hollow timpani one shot, single note, boom bap character, clear pitched strike, vinyl-warmed, no chord, no melody, no untuned drum, no loop
progressive house timpani one shot, single note, clear pitched strike, resonant decay, tape-saturated, no chord, no melody, no untuned drum, no loop
hardstyle timpani one shot, single note, resonant pitched hit, resonant decay, clean studio sample, no chord, no melody, no untuned drum, no loop
ambient timpani one shot, single note, clear pitched strike, ringing tail, clean studio sample, no chord, no melody, no untuned drum, no loop
glassy timpani one shot, single note, chamber character, clear pitched strike, dry, no chord, no melody, no untuned drum, no loop
cinematic timpani one shot, single note, deep tuned tone, ringing tail, analog, no chord, no melody, no untuned drum, no loop
metallic timpani one shot, single note, jazz character, deep tuned tone, filtered, no chord, no melody, no untuned drum, no loop
dusty timpani one shot, single note, progressive house character, deep tuned tone, tape-saturated, no chord, no melody, no untuned drum, no loop
woody timpani one shot, single note, trap character, deep tuned tone, tape-saturated, no chord, no melody, no untuned drum, no loop
cinematic timpani one shot, single note, tuned struck note, controlled sustain, clean studio sample, no chord, no melody, no untuned drum, no loop
vintage timpani one shot, single note, cloud rap character, tuned struck note, vinyl-warmed, no chord, no melody, no untuned drum, no loop
ambient timpani one shot, single note, clear pitched strike, natural decay, saturated, no chord, no melody, no untuned drum, no loop
dusty timpani one shot, single note, cinematic character, deep tuned tone, saturated, no chord, no melody, no untuned drum, no loop
classical timpani one shot, single note, deep tuned tone, controlled sustain, saturated, no chord, no melody, no untuned drum, no loop
classical crisp timpani one shot, single note, resonant pitched hit, resonant decay, dry, no chord, no melody, no untuned drum, no loop
wide timpani one shot, single note, cloud rap character, deep tuned tone, compressed, no chord, no melody, no untuned drum, no loop
jazz timpani one shot, single note, clear pitched strike, resonant decay, vinyl-warmed, no chord, no melody, no untuned drum, no loop
drill woody timpani one shot, single note, resonant pitched hit, ringing tail, dry, no chord, no melody, no untuned drum, no loop
ambient timpani one shot, single note, tuned struck note, controlled sustain, mono-compatible, no chord, no melody, no untuned drum, no loop
lo-fi hip-hop timpani one shot, single note, tuned struck note, controlled sustain, saturated, no chord, no melody, no untuned drum, no loop
phonk timpani one shot, single note, resonant pitched hit, ringing tail, analog, no chord, no melody, no untuned drum, no loop
hollow timpani one shot, single note, hip-hop character, resonant pitched hit, dry, no chord, no melody, no untuned drum, no loop
trap smooth timpani one shot, single note, resonant pitched hit, natural decay, dry, no chord, no melody, no untuned drum, no loop
cinematic timpani one shot, single note, clear pitched strike, ringing tail, mono-compatible, no chord, no melody, no untuned drum, no loop
2-step timpani one shot, single note, tuned struck note, resonant decay, filtered, no chord, no melody, no untuned drum, no loop
breakbeat timpani one shot, single note, tuned struck note, resonant decay, clean studio sample, no chord, no melody, no untuned drum, no loop
cloud rap timpani one shot, single note, resonant pitched hit, ringing tail, filtered, no chord, no melody, no untuned drum, no loop
saturated timpani one shot, single note, cinematic character, resonant pitched hit, dry, no chord, no melody, no untuned drum, no loop
west coast saturated timpani one shot, single note, clear pitched strike, resonant decay, dry, no chord, no melody, no untuned drum, no loop
ambient warm timpani one shot, single note, resonant pitched hit, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
cinematic airy timpani one shot, single note, clear pitched strike, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
folk timpani one shot, single note, tuned struck note, resonant decay, dry, no chord, no melody, no untuned drum, no loop
ambient warm timpani one shot, single note, tuned struck note, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
bright timpani one shot, single note, future bass character, resonant pitched hit, vinyl-warmed, no chord, no melody, no untuned drum, no loop
world punchy timpani one shot, single note, tuned struck note, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
world detuned timpani one shot, single note, resonant pitched hit, resonant decay, dry, no chord, no melody, no untuned drum, no loop
lo-fi hip-hop clean timpani one shot, single note, deep tuned tone, ringing tail, dry, no chord, no melody, no untuned drum, no loop
detuned timpani one shot, single note, trap character, clear pitched strike, tape-saturated, no chord, no melody, no untuned drum, no loop
folk smooth timpani one shot, single note, tuned struck note, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
punchy timpani one shot, single note, chamber character, deep tuned tone, clean studio sample, no chord, no melody, no untuned drum, no loop
classical timpani one shot, single note, deep tuned tone, resonant decay, lo-fi, no chord, no melody, no untuned drum, no loop
classical fat timpani one shot, single note, resonant pitched hit, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
fat timpani one shot, single note, orchestral character, tuned struck note, mono-compatible, no chord, no melody, no untuned drum, no loop
punchy timpani one shot, single note, world character, clear pitched strike, clean studio sample, no chord, no melody, no untuned drum, no loop
metallic timpani one shot, single note, trap character, resonant pitched hit, compressed, no chord, no melody, no untuned drum, no loop
world timpani one shot, single note, deep tuned tone, controlled sustain, filtered, no chord, no melody, no untuned drum, no loop
chamber aggressive timpani one shot, single note, tuned struck note, natural decay, dry, no chord, no melody, no untuned drum, no loop
crisp timpani one shot, single note, melodic techno character, deep tuned tone, analog, no chord, no melody, no untuned drum, no loop
smooth timpani one shot, single note, drill character, clear pitched strike, vinyl-warmed, no chord, no melody, no untuned drum, no loop
west coast woody timpani one shot, single note, deep tuned tone, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
ambient techno crisp timpani one shot, single note, clear pitched strike, natural decay, dry, no chord, no melody, no untuned drum, no loop
neo-soul timpani one shot, single note, clear pitched strike, natural decay, analog, no chord, no melody, no untuned drum, no loop
punchy timpani one shot, single note, drum and bass character, clear pitched strike, mono-compatible, no chord, no melody, no untuned drum, no loop
hip-hop smooth timpani one shot, single note, resonant pitched hit, ringing tail, dry, no chord, no melody, no untuned drum, no loop
hollow timpani one shot, single note, ambient character, resonant pitched hit, compressed, no chord, no melody, no untuned drum, no loop
dark timpani one shot, single note, deep house character, resonant pitched hit, lo-fi, no chord, no melody, no untuned drum, no loop
soundtrack timpani one shot, single note, tuned struck note, natural decay, compressed, no chord, no melody, no untuned drum, no loop
detuned timpani one shot, single note, soundtrack character, clear pitched strike, vinyl-warmed, no chord, no melody, no untuned drum, no loop
detuned timpani one shot, single note, progressive house character, clear pitched strike, lo-fi, no chord, no melody, no untuned drum, no loop
ambient clean timpani one shot, single note, clear pitched strike, resonant decay, dry, no chord, no melody, no untuned drum, no loop
world timpani one shot, single note, tuned struck note, natural decay, lo-fi, no chord, no melody, no untuned drum, no loop
chamber timpani one shot, single note, tuned struck note, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
world timpani one shot, single note, tuned struck note, ringing tail, compressed, no chord, no melody, no untuned drum, no loop
airy timpani one shot, single note, cinematic character, clear pitched strike, mono-compatible, no chord, no melody, no untuned drum, no loop
vintage timpani one shot, single note, jazz character, resonant pitched hit, clean studio sample, no chord, no melody, no untuned drum, no loop
lush timpani one shot, single note, chamber character, clear pitched strike, tape-saturated, no chord, no melody, no untuned drum, no loop
fat timpani one shot, single note, chamber character, tuned struck note, dry, no chord, no melody, no untuned drum, no loop
punchy timpani one shot, single note, drill character, resonant pitched hit, vinyl-warmed, no chord, no melody, no untuned drum, no loop
neo-soul timpani one shot, single note, deep tuned tone, resonant decay, filtered, no chord, no melody, no untuned drum, no loop
airy timpani one shot, single note, chamber character, clear pitched strike, compressed, no chord, no melody, no untuned drum, no loop
smooth timpani one shot, single note, folk character, resonant pitched hit, vinyl-warmed, no chord, no melody, no untuned drum, no loop
dark timpani one shot, single note, memphis character, resonant pitched hit, dry, no chord, no melody, no untuned drum, no loop
trap edm wide timpani one shot, single note, deep tuned tone, resonant decay, dry, no chord, no melody, no untuned drum, no loop
clean timpani one shot, single note, boom bap character, tuned struck note, filtered, no chord, no melody, no untuned drum, no loop
dark timpani one shot, single note, soundtrack character, clear pitched strike, clean studio sample, no chord, no melody, no untuned drum, no loop
cloud rap mellow timpani one shot, single note, resonant pitched hit, resonant decay, dry, no chord, no melody, no untuned drum, no loop
trap timpani one shot, single note, clear pitched strike, resonant decay, compressed, no chord, no melody, no untuned drum, no loop
west coast saturated timpani one shot, single note, clear pitched strike, ringing tail, dry, no chord, no melody, no untuned drum, no loop
cinematic timpani one shot, single note, tuned struck note, ringing tail, clean studio sample, no chord, no melody, no untuned drum, no loop
r&b dusty timpani one shot, single note, resonant pitched hit, natural decay, dry, no chord, no melody, no untuned drum, no loop
boom bap timpani one shot, single note, deep tuned tone, natural decay, saturated, no chord, no melody, no untuned drum, no loop
smooth timpani one shot, single note, folk character, tuned struck note, compressed, no chord, no melody, no untuned drum, no loop
folk wide timpani one shot, single note, clear pitched strike, natural decay, dry, no chord, no melody, no untuned drum, no loop
saturated timpani one shot, single note, ambient character, tuned struck note, dry, no chord, no melody, no untuned drum, no loop
jazz timpani one shot, single note, deep tuned tone, natural decay, filtered, no chord, no melody, no untuned drum, no loop
folk timpani one shot, single note, resonant pitched hit, resonant decay, mono-compatible, no chord, no melody, no untuned drum, no loop
clean timpani one shot, single note, classical character, deep tuned tone, filtered, no chord, no melody, no untuned drum, no loop
chamber timpani one shot, single note, clear pitched strike, resonant decay, analog, no chord, no melody, no untuned drum, no loop
dusty timpani one shot, single note, chamber character, resonant pitched hit, clean studio sample, no chord, no melody, no untuned drum, no loop
orchestral timpani one shot, single note, deep tuned tone, natural decay, compressed, no chord, no melody, no untuned drum, no loop
lush timpani one shot, single note, classical character, tuned struck note, compressed, no chord, no melody, no untuned drum, no loop
mellow timpani one shot, single note, orchestral character, deep tuned tone, mono-compatible, no chord, no melody, no untuned drum, no loop
classical wide timpani one shot, single note, tuned struck note, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
glassy timpani one shot, single note, orchestral character, deep tuned tone, compressed, no chord, no melody, no untuned drum, no loop
jazz saturated timpani one shot, single note, tuned struck note, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
neo-soul airy timpani one shot, single note, tuned struck note, natural decay, dry, no chord, no melody, no untuned drum, no loop
memphis saturated timpani one shot, single note, tuned struck note, ringing tail, dry, no chord, no melody, no untuned drum, no loop
dusty timpani one shot, single note, world character, clear pitched strike, saturated, no chord, no melody, no untuned drum, no loop
boom bap timpani one shot, single note, clear pitched strike, resonant decay, tape-saturated, no chord, no melody, no untuned drum, no loop
crisp timpani one shot, single note, ambient character, clear pitched strike, tape-saturated, no chord, no melody, no untuned drum, no loop
dusty timpani one shot, single note, memphis character, resonant pitched hit, vinyl-warmed, no chord, no melody, no untuned drum, no loop
fat timpani one shot, single note, minimal techno character, clear pitched strike, analog, no chord, no melody, no untuned drum, no loop
cinematic timpani one shot, single note, clear pitched strike, natural decay, vinyl-warmed, no chord, no melody, no untuned drum, no loop
world lush timpani one shot, single note, deep tuned tone, resonant decay, dry, no chord, no melody, no untuned drum, no loop
warm timpani one shot, single note, classical character, clear pitched strike, compressed, no chord, no melody, no untuned drum, no loop
airy timpani one shot, single note, 2-step character, tuned struck note, mono-compatible, no chord, no melody, no untuned drum, no loop
soundtrack timpani one shot, single note, deep tuned tone, controlled sustain, lo-fi, no chord, no melody, no untuned drum, no loop
orchestral timpani one shot, single note, deep tuned tone, ringing tail, clean studio sample, no chord, no melody, no untuned drum, no loop
folk vintage timpani one shot, single note, tuned struck note, natural decay, dry, no chord, no melody, no untuned drum, no loop
jazz warm timpani one shot, single note, clear pitched strike, natural decay, dry, no chord, no melody, no untuned drum, no loop
boom bap timpani one shot, single note, tuned struck note, natural decay, clean studio sample, no chord, no melody, no untuned drum, no loop
future bass dusty timpani one shot, single note, tuned struck note, natural decay, dry, no chord, no melody, no untuned drum, no loop
aggressive timpani one shot, single note, ambient character, tuned struck note, analog, no chord, no melody, no untuned drum, no loop
warm timpani one shot, single note, cinematic character, deep tuned tone, dry, no chord, no melody, no untuned drum, no loop
ambient techno gritty timpani one shot, single note, deep tuned tone, resonant decay, dry, no chord, no melody, no untuned drum, no loop
bright timpani one shot, single note, progressive house character, resonant pitched hit, dry, no chord, no melody, no untuned drum, no loop
bright timpani one shot, single note, phonk character, deep tuned tone, mono-compatible, no chord, no melody, no untuned drum, no loop
bright timpani one shot, single note, orchestral character, deep tuned tone, saturated, no chord, no melody, no untuned drum, no loop
clean timpani one shot, single note, orchestral character, clear pitched strike, dry, no chord, no melody, no untuned drum, no loop
orchestral aggressive timpani one shot, single note, clear pitched strike, natural decay, dry, no chord, no melody, no untuned drum, no loop
crisp timpani one shot, single note, west coast character, deep tuned tone, filtered, no chord, no melody, no untuned drum, no loop
minimal techno timpani one shot, single note, tuned struck note, resonant decay, dry, no chord, no melody, no untuned drum, no loop
r&b detuned timpani one shot, single note, tuned struck note, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
acid techno mellow timpani one shot, single note, clear pitched strike, controlled sustain, dry, no chord, no melody, no untuned drum, no loop
orchestral gritty timpani one shot, single note, tuned struck note, natural decay, dry, no chord, no melody, no untuned drum, no loop
classical timpani one shot, single note, clear pitched strike, controlled sustain, compressed, no chord, no melody, no untuned drum, no loop
orchestral timpani one shot, single note, deep tuned tone, ringing tail, vinyl-warmed, no chord, no melody, no untuned drum, no loop
soundtrack timpani one shot, single note, clear pitched strike, ringing tail, analog, no chord, no melody, no untuned drum, no loop
folk warm timpani one shot, single note, tuned struck note, ringing tail, dry, no chord, no melody, no untuned drum, no loop
hollow timpani one shot, single note, classical character, deep tuned tone, dry, no chord, no melody, no untuned drum, no loop
electro timpani one shot, single note, tuned struck note, controlled sustain, tape-saturated, no chord, no melody, no untuned drum, no loop
dusty timpani one shot, single note, orchestral character, deep tuned tone, filtered, no chord, no melody, no untuned drum, no loop
dusty timpani one shot, single note, jazz character, deep tuned tone, analog, no chord, no melody, no untuned drum, no loop
chamber mellow timpani one shot, single note, deep tuned tone, resonant decay, dry, no chord, no melody, no untuned drum, no loop
aggressive timpani one shot, single note, lo-fi hip-hop character, resonant pitched hit, analog, no chord, no melody, no untuned drum, no loop
gritty timpani one shot, single note, folk character, clear pitched strike, mono-compatible, no chord, no melody, no untuned drum, no loop
gritty timpani one shot, single note, cloud rap character, tuned struck note, saturated, no chord, no melody, no untuned drum, no loop
chamber timpani one shot, single note, clear pitched strike, natural decay, mono-compatible, no chord, no melody, no untuned drum, no loop
