# =========================================================================
# downlifter — unpitched one-shots. ~200 prompts.
# Style mix (generated lines): ~78% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
lo-fi hip-hop woody downlifter one shot, descending pitch fall, long downward sweep, dry, no drums, no riser, no melody, no loop
world saturated downlifter one shot, releasing energy, decaying fall, dry, no drums, no riser, no melody, no loop
electro clean downlifter one shot, releasing energy, decaying fall, dry, no drums, no riser, no melody, no loop
mellow downlifter one shot, synthwave character, downward motion, analog, no drums, no riser, no melody, no loop
cinematic detuned downlifter one shot, releasing energy, long downward sweep, dry, no drums, no riser, no melody, no loop
neo-soul bright downlifter one shot, descending pitch fall, smooth descent, dry, no drums, no riser, no melody, no loop
synthwave downlifter one shot, downward motion, post-drop release, analog, no drums, no riser, no melody, no loop
folk punchy downlifter one shot, filtered noise drop, long downward sweep, dry, no drums, no riser, no melody, no loop
glitch downlifter one shot, downward motion, decaying fall, tape-saturated, no drums, no riser, no melody, no loop
ambient techno downlifter one shot, descending pitch fall, long downward sweep, clean studio sample, no drums, no riser, no melody, no loop
memphis downlifter one shot, descending pitch fall, smooth descent, lo-fi, no drums, no riser, no melody, no loop
synthwave downlifter one shot, downward motion, decaying fall, vinyl-warmed, no drums, no riser, no melody, no loop
dusty downlifter one shot, ambient techno character, descending pitch fall, saturated, no drums, no riser, no melody, no loop
ambient techno downlifter one shot, filtered noise drop, long downward sweep, compressed, no drums, no riser, no melody, no loop
minimal techno aggressive downlifter one shot, releasing energy, post-drop release, dry, no drums, no riser, no melody, no loop
hollow downlifter one shot, cloud rap character, descending pitch fall, tape-saturated, no drums, no riser, no melody, no loop
wide downlifter one shot, minimal techno character, filtered noise drop, lo-fi, no drums, no riser, no melody, no loop
wide downlifter one shot, trance character, downward motion, saturated, no drums, no riser, no melody, no loop
dusty downlifter one shot, melodic techno character, filtered noise drop, filtered, no drums, no riser, no melody, no loop
clean downlifter one shot, electro character, filtered noise drop, compressed, no drums, no riser, no melody, no loop
electro glassy downlifter one shot, downward motion, long downward sweep, dry, no drums, no riser, no melody, no loop
drum and bass fat downlifter one shot, releasing energy, long downward sweep, dry, no drums, no riser, no melody, no loop
glitch downlifter one shot, filtered noise drop, decaying fall, compressed, no drums, no riser, no melody, no loop
boom bap smooth downlifter one shot, releasing energy, smooth descent, dry, no drums, no riser, no melody, no loop
tech house mellow downlifter one shot, descending pitch fall, decaying fall, dry, no drums, no riser, no melody, no loop
saturated downlifter one shot, west coast character, downward motion, dry, no drums, no riser, no melody, no loop
lo-fi hip-hop fat downlifter one shot, filtered noise drop, decaying fall, dry, no drums, no riser, no melody, no loop
saturated downlifter one shot, boom bap character, descending pitch fall, compressed, no drums, no riser, no melody, no loop
clean downlifter one shot, tech house character, filtered noise drop, tape-saturated, no drums, no riser, no melody, no loop
punchy downlifter one shot, big room character, descending pitch fall, clean studio sample, no drums, no riser, no melody, no loop
hollow downlifter one shot, techno character, filtered noise drop, vinyl-warmed, no drums, no riser, no melody, no loop
minimal techno aggressive downlifter one shot, downward motion, post-drop release, dry, no drums, no riser, no melody, no loop
r&b downlifter one shot, filtered noise drop, post-drop release, lo-fi, no drums, no riser, no melody, no loop
glassy downlifter one shot, ambient techno character, filtered noise drop, dry, no drums, no riser, no melody, no loop
fat downlifter one shot, tech house character, descending pitch fall, mono-compatible, no drums, no riser, no melody, no loop
r&b aggressive downlifter one shot, downward motion, post-drop release, dry, no drums, no riser, no melody, no loop
hollow downlifter one shot, ambient techno character, descending pitch fall, clean studio sample, no drums, no riser, no melody, no loop
synthwave smooth downlifter one shot, releasing energy, decaying fall, dry, no drums, no riser, no melody, no loop
deep house lush downlifter one shot, descending pitch fall, post-drop release, dry, no drums, no riser, no melody, no loop
drill mellow downlifter one shot, releasing energy, decaying fall, dry, no drums, no riser, no melody, no loop
melodic techno downlifter one shot, releasing energy, smooth descent, lo-fi, no drums, no riser, no melody, no loop
techno smooth downlifter one shot, downward motion, post-drop release, dry, no drums, no riser, no melody, no loop
bright downlifter one shot, glitch character, downward motion, compressed, no drums, no riser, no melody, no loop
ambient techno aggressive downlifter one shot, downward motion, smooth descent, dry, no drums, no riser, no melody, no loop
aggressive downlifter one shot, 2-step character, descending pitch fall, dry, no drums, no riser, no melody, no loop
minimal techno downlifter one shot, releasing energy, long downward sweep, vinyl-warmed, no drums, no riser, no melody, no loop
mellow downlifter one shot, melodic techno character, downward motion, lo-fi, no drums, no riser, no melody, no loop
dusty downlifter one shot, trap edm character, descending pitch fall, tape-saturated, no drums, no riser, no melody, no loop
airy downlifter one shot, synthwave character, downward motion, vinyl-warmed, no drums, no riser, no melody, no loop
electro downlifter one shot, releasing energy, long downward sweep, dry, no drums, no riser, no melody, no loop
hardstyle downlifter one shot, filtered noise drop, decaying fall, analog, no drums, no riser, no melody, no loop
uk garage bright downlifter one shot, releasing energy, post-drop release, dry, no drums, no riser, no melody, no loop
fat downlifter one shot, future bass character, releasing energy, saturated, no drums, no riser, no melody, no loop
hardstyle metallic downlifter one shot, descending pitch fall, decaying fall, dry, no drums, no riser, no melody, no loop
melodic techno gritty downlifter one shot, descending pitch fall, smooth descent, dry, no drums, no riser, no melody, no loop
fat downlifter one shot, drum and bass character, downward motion, dry, no drums, no riser, no melody, no loop
glitch airy downlifter one shot, filtered noise drop, long downward sweep, dry, no drums, no riser, no melody, no loop
trap glassy downlifter one shot, downward motion, post-drop release, dry, no drums, no riser, no melody, no loop
hollow downlifter one shot, future bass character, descending pitch fall, vinyl-warmed, no drums, no riser, no melody, no loop
punchy downlifter one shot, future bass character, releasing energy, filtered, no drums, no riser, no melody, no loop
glassy downlifter one shot, synthwave character, downward motion, filtered, no drums, no riser, no melody, no loop
2-step downlifter one shot, descending pitch fall, long downward sweep, mono-compatible, no drums, no riser, no melody, no loop
soundtrack gritty downlifter one shot, downward motion, long downward sweep, dry, no drums, no riser, no melody, no loop
clean downlifter one shot, cloud rap character, downward motion, mono-compatible, no drums, no riser, no melody, no loop
dusty downlifter one shot, uk garage character, releasing energy, dry, no drums, no riser, no melody, no loop
r&b downlifter one shot, releasing energy, decaying fall, dry, no drums, no riser, no melody, no loop
saturated downlifter one shot, big room character, releasing energy, dry, no drums, no riser, no melody, no loop
synthwave saturated downlifter one shot, releasing energy, post-drop release, dry, no drums, no riser, no melody, no loop
soundtrack bright downlifter one shot, releasing energy, smooth descent, dry, no drums, no riser, no melody, no loop
ambient downlifter one shot, releasing energy, long downward sweep, mono-compatible, no drums, no riser, no melody, no loop
warm downlifter one shot, ambient techno character, releasing energy, lo-fi, no drums, no riser, no melody, no loop
vintage downlifter one shot, synthwave character, downward motion, dry, no drums, no riser, no melody, no loop
breakbeat wide downlifter one shot, descending pitch fall, smooth descent, dry, no drums, no riser, no melody, no loop
trance downlifter one shot, descending pitch fall, post-drop release, dry, no drums, no riser, no melody, no loop
neo-soul crisp downlifter one shot, releasing energy, smooth descent, dry, no drums, no riser, no melody, no loop
dubstep downlifter one shot, filtered noise drop, decaying fall, clean studio sample, no drums, no riser, no melody, no loop
wide downlifter one shot, tech house character, releasing energy, compressed, no drums, no riser, no melody, no loop
lush downlifter one shot, acid techno character, releasing energy, lo-fi, no drums, no riser, no melody, no loop
vintage downlifter one shot, phonk character, filtered noise drop, analog, no drums, no riser, no melody, no loop
big room clean downlifter one shot, releasing energy, decaying fall, dry, no drums, no riser, no melody, no loop
west coast detuned downlifter one shot, releasing energy, long downward sweep, dry, no drums, no riser, no melody, no loop
melodic techno downlifter one shot, filtered noise drop, decaying fall, vinyl-warmed, no drums, no riser, no melody, no loop
glassy downlifter one shot, phonk character, descending pitch fall, dry, no drums, no riser, no melody, no loop
future bass crisp downlifter one shot, filtered noise drop, post-drop release, dry, no drums, no riser, no melody, no loop
acid techno glassy downlifter one shot, descending pitch fall, smooth descent, dry, no drums, no riser, no melody, no loop
west coast mellow downlifter one shot, downward motion, long downward sweep, dry, no drums, no riser, no melody, no loop
smooth downlifter one shot, minimal techno character, descending pitch fall, tape-saturated, no drums, no riser, no melody, no loop
ambient techno downlifter one shot, releasing energy, smooth descent, dry, no drums, no riser, no melody, no loop
uk garage downlifter one shot, filtered noise drop, long downward sweep, filtered, no drums, no riser, no melody, no loop
woody downlifter one shot, orchestral character, filtered noise drop, dry, no drums, no riser, no melody, no loop
big room downlifter one shot, downward motion, long downward sweep, dry, no drums, no riser, no melody, no loop
mellow downlifter one shot, drum and bass character, filtered noise drop, dry, no drums, no riser, no melody, no loop
detuned downlifter one shot, uk garage character, descending pitch fall, vinyl-warmed, no drums, no riser, no melody, no loop
gritty downlifter one shot, techno character, downward motion, dry, no drums, no riser, no melody, no loop
neo-soul punchy downlifter one shot, releasing energy, long downward sweep, dry, no drums, no riser, no melody, no loop
future bass downlifter one shot, releasing energy, post-drop release, filtered, no drums, no riser, no melody, no loop
future bass downlifter one shot, filtered noise drop, decaying fall, compressed, no drums, no riser, no melody, no loop
warm downlifter one shot, techno character, filtered noise drop, analog, no drums, no riser, no melody, no loop
uk garage downlifter one shot, descending pitch fall, smooth descent, analog, no drums, no riser, no melody, no loop
trance woody downlifter one shot, downward motion, long downward sweep, dry, no drums, no riser, no melody, no loop
mellow downlifter one shot, uk garage character, descending pitch fall, compressed, no drums, no riser, no melody, no loop
clean downlifter one shot, trap edm character, releasing energy, vinyl-warmed, no drums, no riser, no melody, no loop
techno saturated downlifter one shot, filtered noise drop, long downward sweep, dry, no drums, no riser, no melody, no loop
tech house downlifter one shot, downward motion, long downward sweep, compressed, no drums, no riser, no melody, no loop
jazz downlifter one shot, downward motion, smooth descent, lo-fi, no drums, no riser, no melody, no loop
lo-fi hip-hop warm downlifter one shot, filtered noise drop, smooth descent, dry, no drums, no riser, no melody, no loop
acid techno downlifter one shot, filtered noise drop, post-drop release, filtered, no drums, no riser, no melody, no loop
hardstyle hollow downlifter one shot, downward motion, smooth descent, dry, no drums, no riser, no melody, no loop
techno mellow downlifter one shot, descending pitch fall, long downward sweep, dry, no drums, no riser, no melody, no loop
synthwave downlifter one shot, filtered noise drop, long downward sweep, saturated, no drums, no riser, no melody, no loop
electro hollow downlifter one shot, descending pitch fall, long downward sweep, dry, no drums, no riser, no melody, no loop
hardstyle gritty downlifter one shot, descending pitch fall, post-drop release, dry, no drums, no riser, no melody, no loop
2-step mellow downlifter one shot, descending pitch fall, post-drop release, dry, no drums, no riser, no melody, no loop
cinematic downlifter one shot, descending pitch fall, decaying fall, analog, no drums, no riser, no melody, no loop
metallic downlifter one shot, trap edm character, descending pitch fall, lo-fi, no drums, no riser, no melody, no loop
wide downlifter one shot, synthwave character, releasing energy, dry, no drums, no riser, no melody, no loop
phonk downlifter one shot, downward motion, decaying fall, dry, no drums, no riser, no melody, no loop
glitch downlifter one shot, downward motion, smooth descent, tape-saturated, no drums, no riser, no melody, no loop
glassy downlifter one shot, drum and bass character, releasing energy, tape-saturated, no drums, no riser, no melody, no loop
minimal techno aggressive downlifter one shot, releasing energy, smooth descent, dry, no drums, no riser, no melody, no loop
smooth downlifter one shot, tech house character, releasing energy, tape-saturated, no drums, no riser, no melody, no loop
fat downlifter one shot, 2-step character, downward motion, dry, no drums, no riser, no melody, no loop
breakbeat dark downlifter one shot, downward motion, long downward sweep, dry, no drums, no riser, no melody, no loop
fat downlifter one shot, tech house character, releasing energy, analog, no drums, no riser, no melody, no loop
neo-soul metallic downlifter one shot, filtered noise drop, long downward sweep, dry, no drums, no riser, no melody, no loop
smooth downlifter one shot, boom bap character, downward motion, dry, no drums, no riser, no melody, no loop
uk garage downlifter one shot, filtered noise drop, decaying fall, filtered, no drums, no riser, no melody, no loop
minimal techno dark downlifter one shot, descending pitch fall, post-drop release, dry, no drums, no riser, no melody, no loop
smooth downlifter one shot, electro character, descending pitch fall, analog, no drums, no riser, no melody, no loop
smooth downlifter one shot, breakbeat character, downward motion, analog, no drums, no riser, no melody, no loop
tech house glassy downlifter one shot, filtered noise drop, long downward sweep, dry, no drums, no riser, no melody, no loop
trap edm dark downlifter one shot, downward motion, decaying fall, dry, no drums, no riser, no melody, no loop
melodic techno saturated downlifter one shot, filtered noise drop, decaying fall, dry, no drums, no riser, no melody, no loop
memphis downlifter one shot, downward motion, long downward sweep, mono-compatible, no drums, no riser, no melody, no loop
aggressive downlifter one shot, phonk character, downward motion, dry, no drums, no riser, no melody, no loop
ambient techno lush downlifter one shot, descending pitch fall, long downward sweep, dry, no drums, no riser, no melody, no loop
gritty downlifter one shot, trance character, downward motion, lo-fi, no drums, no riser, no melody, no loop
deep house saturated downlifter one shot, descending pitch fall, smooth descent, dry, no drums, no riser, no melody, no loop
neo-soul downlifter one shot, descending pitch fall, decaying fall, mono-compatible, no drums, no riser, no melody, no loop
neo-soul downlifter one shot, filtered noise drop, long downward sweep, tape-saturated, no drums, no riser, no melody, no loop
deep house mellow downlifter one shot, downward motion, decaying fall, dry, no drums, no riser, no melody, no loop
jazz gritty downlifter one shot, releasing energy, decaying fall, dry, no drums, no riser, no melody, no loop
dubstep downlifter one shot, descending pitch fall, smooth descent, clean studio sample, no drums, no riser, no melody, no loop
synthwave bright downlifter one shot, downward motion, post-drop release, dry, no drums, no riser, no melody, no loop
warm downlifter one shot, folk character, downward motion, mono-compatible, no drums, no riser, no melody, no loop
trap edm aggressive downlifter one shot, descending pitch fall, post-drop release, dry, no drums, no riser, no melody, no loop
woody downlifter one shot, uk garage character, filtered noise drop, lo-fi, no drums, no riser, no melody, no loop
melodic techno downlifter one shot, descending pitch fall, post-drop release, analog, no drums, no riser, no melody, no loop
mellow downlifter one shot, soundtrack character, downward motion, dry, no drums, no riser, no melody, no loop
acid techno airy downlifter one shot, downward motion, post-drop release, dry, no drums, no riser, no melody, no loop
