# =========================================================================
# foley-perc — unpitched one-shots. ~200 prompts.
# Style mix (generated lines): ~30% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
boom bap lush foley percussion hit one shot, bright snap, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
drill punchy foley percussion hit one shot, crisp transient, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
vintage foley percussion hit one shot, boom bap character, bright snap, saturated, no kick, no snare, no cymbals, no melody, no loop
glassy foley percussion hit one shot, trap character, bright snap, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
lo-fi hip-hop foley percussion hit one shot, crisp transient, natural decay, lo-fi, no kick, no snare, no cymbals, no melody, no loop
hip-hop foley percussion hit one shot, bright snap, quick decay, compressed, no kick, no snare, no cymbals, no melody, no loop
clean foley percussion hit one shot, dubstep character, dry tick, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
orchestral foley percussion hit one shot, dry tick, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
jazz foley percussion hit one shot, snappy attack, quick decay, clean studio sample, no kick, no snare, no cymbals, no melody, no loop
jazz foley percussion hit one shot, crisp transient, tight tail, analog, no kick, no snare, no cymbals, no melody, no loop
uk garage foley percussion hit one shot, bright snap, quick decay, vinyl-warmed, no kick, no snare, no cymbals, no melody, no loop
bright foley percussion hit one shot, drill character, dry tick, filtered, no kick, no snare, no cymbals, no melody, no loop
bright foley percussion hit one shot, folk character, snappy attack, lo-fi, no kick, no snare, no cymbals, no melody, no loop
future bass foley percussion hit one shot, crisp transient, natural decay, lo-fi, no kick, no snare, no cymbals, no melody, no loop
airy foley percussion hit one shot, drill character, bright snap, dry, no kick, no snare, no cymbals, no melody, no loop
cinematic foley percussion hit one shot, snappy attack, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
west coast foley percussion hit one shot, bright snap, tight tail, vinyl-warmed, no kick, no snare, no cymbals, no melody, no loop
dusty foley percussion hit one shot, hip-hop character, bright snap, filtered, no kick, no snare, no cymbals, no melody, no loop
r&b wide foley percussion hit one shot, crisp transient, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
boom bap foley percussion hit one shot, snappy attack, short decay, compressed, no kick, no snare, no cymbals, no melody, no loop
boom bap saturated foley percussion hit one shot, bright snap, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
saturated foley percussion hit one shot, memphis character, crisp transient, dry, no kick, no snare, no cymbals, no melody, no loop
bright foley percussion hit one shot, big room character, crisp transient, dry, no kick, no snare, no cymbals, no melody, no loop
vintage foley percussion hit one shot, breakbeat character, bright snap, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
progressive house lush foley percussion hit one shot, dry tick, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
aggressive foley percussion hit one shot, drill character, crisp transient, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
dubstep foley percussion hit one shot, bright snap, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
aggressive foley percussion hit one shot, big room character, bright snap, clean studio sample, no kick, no snare, no cymbals, no melody, no loop
neo-soul wide foley percussion hit one shot, crisp transient, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
acid techno lush foley percussion hit one shot, crisp transient, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
chamber foley percussion hit one shot, bright snap, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
uk garage foley percussion hit one shot, bright snap, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
cloud rap wide foley percussion hit one shot, crisp transient, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
lo-fi hip-hop warm foley percussion hit one shot, crisp transient, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
jazz foley percussion hit one shot, snappy attack, tight tail, lo-fi, no kick, no snare, no cymbals, no melody, no loop
r&b foley percussion hit one shot, snappy attack, short decay, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
neo-soul fat foley percussion hit one shot, dry tick, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
mellow foley percussion hit one shot, neo-soul character, bright snap, compressed, no kick, no snare, no cymbals, no melody, no loop
memphis foley percussion hit one shot, bright snap, quick decay, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
boom bap foley percussion hit one shot, crisp transient, natural decay, compressed, no kick, no snare, no cymbals, no melody, no loop
lush foley percussion hit one shot, trap character, bright snap, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
minimal techno lush foley percussion hit one shot, bright snap, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
clean foley percussion hit one shot, classical character, snappy attack, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
classical dark foley percussion hit one shot, bright snap, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
hollow foley percussion hit one shot, trap character, snappy attack, compressed, no kick, no snare, no cymbals, no melody, no loop
woody foley percussion hit one shot, classical character, bright snap, filtered, no kick, no snare, no cymbals, no melody, no loop
tech house foley percussion hit one shot, snappy attack, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
saturated foley percussion hit one shot, melodic techno character, dry tick, dry, no kick, no snare, no cymbals, no melody, no loop
hardstyle punchy foley percussion hit one shot, snappy attack, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
classical foley percussion hit one shot, dry tick, natural decay, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
r&b foley percussion hit one shot, crisp transient, tight tail, filtered, no kick, no snare, no cymbals, no melody, no loop
drill crisp foley percussion hit one shot, dry tick, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
breakbeat foley percussion hit one shot, snappy attack, natural decay, lo-fi, no kick, no snare, no cymbals, no melody, no loop
uk garage foley percussion hit one shot, dry tick, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
west coast foley percussion hit one shot, bright snap, short decay, clean studio sample, no kick, no snare, no cymbals, no melody, no loop
smooth foley percussion hit one shot, trance character, dry tick, vinyl-warmed, no kick, no snare, no cymbals, no melody, no loop
classical airy foley percussion hit one shot, dry tick, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
trap edm smooth foley percussion hit one shot, snappy attack, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
cloud rap foley percussion hit one shot, dry tick, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
west coast woody foley percussion hit one shot, crisp transient, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
aggressive foley percussion hit one shot, cloud rap character, crisp transient, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
mellow foley percussion hit one shot, neo-soul character, crisp transient, dry, no kick, no snare, no cymbals, no melody, no loop
drill vintage foley percussion hit one shot, snappy attack, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
glassy foley percussion hit one shot, big room character, dry tick, dry, no kick, no snare, no cymbals, no melody, no loop
hip-hop dusty foley percussion hit one shot, crisp transient, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
drill foley percussion hit one shot, snappy attack, short decay, lo-fi, no kick, no snare, no cymbals, no melody, no loop
phonk foley percussion hit one shot, dry tick, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
electro clean foley percussion hit one shot, snappy attack, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
techno foley percussion hit one shot, crisp transient, natural decay, clean studio sample, no kick, no snare, no cymbals, no melody, no loop
future bass foley percussion hit one shot, dry tick, quick decay, tape-saturated, no kick, no snare, no cymbals, no melody, no loop
tech house foley percussion hit one shot, dry tick, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
electro foley percussion hit one shot, crisp transient, quick decay, lo-fi, no kick, no snare, no cymbals, no melody, no loop
lush foley percussion hit one shot, boom bap character, snappy attack, dry, no kick, no snare, no cymbals, no melody, no loop
hollow foley percussion hit one shot, lo-fi hip-hop character, snappy attack, clean studio sample, no kick, no snare, no cymbals, no melody, no loop
dark foley percussion hit one shot, drum and bass character, crisp transient, dry, no kick, no snare, no cymbals, no melody, no loop
electro warm foley percussion hit one shot, bright snap, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
bright foley percussion hit one shot, phonk character, dry tick, lo-fi, no kick, no snare, no cymbals, no melody, no loop
wide foley percussion hit one shot, cloud rap character, crisp transient, saturated, no kick, no snare, no cymbals, no melody, no loop
hip-hop vintage foley percussion hit one shot, bright snap, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
soundtrack foley percussion hit one shot, crisp transient, natural decay, dry, no kick, no snare, no cymbals, no melody, no loop
dusty foley percussion hit one shot, electro character, crisp transient, filtered, no kick, no snare, no cymbals, no melody, no loop
saturated foley percussion hit one shot, drill character, snappy attack, dry, no kick, no snare, no cymbals, no melody, no loop
smooth foley percussion hit one shot, drill character, dry tick, dry, no kick, no snare, no cymbals, no melody, no loop
airy foley percussion hit one shot, west coast character, bright snap, analog, no kick, no snare, no cymbals, no melody, no loop
r&b woody foley percussion hit one shot, crisp transient, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
orchestral vintage foley percussion hit one shot, crisp transient, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
progressive house mellow foley percussion hit one shot, bright snap, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
memphis foley percussion hit one shot, dry tick, quick decay, analog, no kick, no snare, no cymbals, no melody, no loop
wide foley percussion hit one shot, glitch character, bright snap, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
r&b clean foley percussion hit one shot, snappy attack, short decay, dry, no kick, no snare, no cymbals, no melody, no loop
vintage foley percussion hit one shot, hip-hop character, dry tick, compressed, no kick, no snare, no cymbals, no melody, no loop
lush foley percussion hit one shot, world character, bright snap, mono-compatible, no kick, no snare, no cymbals, no melody, no loop
gritty foley percussion hit one shot, west coast character, snappy attack, analog, no kick, no snare, no cymbals, no melody, no loop
hip-hop foley percussion hit one shot, snappy attack, short decay, compressed, no kick, no snare, no cymbals, no melody, no loop
boom bap foley percussion hit one shot, dry tick, quick decay, saturated, no kick, no snare, no cymbals, no melody, no loop
chamber aggressive foley percussion hit one shot, snappy attack, quick decay, dry, no kick, no snare, no cymbals, no melody, no loop
smooth foley percussion hit one shot, west coast character, snappy attack, filtered, no kick, no snare, no cymbals, no melody, no loop
2-step hollow foley percussion hit one shot, snappy attack, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
boom bap foley percussion hit one shot, bright snap, natural decay, clean studio sample, no kick, no snare, no cymbals, no melody, no loop
metallic foley percussion hit one shot, drum and bass character, dry tick, vinyl-warmed, no kick, no snare, no cymbals, no melody, no loop
hip-hop dusty foley percussion hit one shot, dry tick, tight tail, dry, no kick, no snare, no cymbals, no melody, no loop
