# =========================================================================
# sweep — unpitched one-shots. ~200 prompts.
# Style mix (generated lines): ~84% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
tech house noise sweep one shot, noise transition, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
glitch clean noise sweep one shot, airy motion, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
2-step crisp noise sweep one shot, white noise sweep, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
gritty noise sweep one shot, trap edm character, filter whoosh, clean studio sample, no drums, no melody, no tonal pitch, no loop
minimal techno wide noise sweep one shot, airy motion, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
fat noise sweep one shot, hardstyle character, noise transition, dry, no drums, no melody, no tonal pitch, no loop
smooth noise sweep one shot, melodic techno character, noise transition, clean studio sample, no drums, no melody, no tonal pitch, no loop
jazz noise sweep one shot, noise transition, rising-falling motion, tape-saturated, no drums, no melody, no tonal pitch, no loop
warm noise sweep one shot, minimal techno character, white noise sweep, saturated, no drums, no melody, no tonal pitch, no loop
acid techno noise sweep one shot, filter whoosh, rising-falling motion, compressed, no drums, no melody, no tonal pitch, no loop
west coast noise sweep one shot, filter whoosh, short whoosh, filtered, no drums, no melody, no tonal pitch, no loop
glitch fat noise sweep one shot, white noise sweep, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
hardstyle bright noise sweep one shot, noise transition, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
trance noise sweep one shot, noise transition, rising-falling motion, mono-compatible, no drums, no melody, no tonal pitch, no loop
electro dusty noise sweep one shot, noise transition, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
woody noise sweep one shot, acid techno character, filter whoosh, dry, no drums, no melody, no tonal pitch, no loop
airy noise sweep one shot, big room character, white noise sweep, compressed, no drums, no melody, no tonal pitch, no loop
aggressive noise sweep one shot, acid techno character, airy motion, analog, no drums, no melody, no tonal pitch, no loop
dubstep noise sweep one shot, airy motion, short whoosh, tape-saturated, no drums, no melody, no tonal pitch, no loop
future bass airy noise sweep one shot, filter whoosh, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
melodic techno saturated noise sweep one shot, white noise sweep, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
progressive house vintage noise sweep one shot, filter whoosh, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
synthwave bright noise sweep one shot, filter whoosh, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
saturated noise sweep one shot, future bass character, filter whoosh, saturated, no drums, no melody, no tonal pitch, no loop
techno noise sweep one shot, filter whoosh, short whoosh, saturated, no drums, no melody, no tonal pitch, no loop
airy noise sweep one shot, trap edm character, white noise sweep, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
warm noise sweep one shot, progressive house character, filter whoosh, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
glassy noise sweep one shot, big room character, noise transition, tape-saturated, no drums, no melody, no tonal pitch, no loop
glitch airy noise sweep one shot, airy motion, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
smooth noise sweep one shot, hip-hop character, white noise sweep, dry, no drums, no melody, no tonal pitch, no loop
big room detuned noise sweep one shot, airy motion, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
trap edm dark noise sweep one shot, white noise sweep, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
orchestral crisp noise sweep one shot, noise transition, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
warm noise sweep one shot, trap edm character, white noise sweep, filtered, no drums, no melody, no tonal pitch, no loop
wide noise sweep one shot, breakbeat character, noise transition, saturated, no drums, no melody, no tonal pitch, no loop
dark noise sweep one shot, 2-step character, noise transition, dry, no drums, no melody, no tonal pitch, no loop
acid techno detuned noise sweep one shot, airy motion, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
lush noise sweep one shot, drill character, white noise sweep, filtered, no drums, no melody, no tonal pitch, no loop
memphis woody noise sweep one shot, noise transition, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
hardstyle noise sweep one shot, noise transition, filtered tail, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
lush noise sweep one shot, ambient techno character, filter whoosh, dry, no drums, no melody, no tonal pitch, no loop
hip-hop noise sweep one shot, airy motion, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
techno noise sweep one shot, white noise sweep, short whoosh, lo-fi, no drums, no melody, no tonal pitch, no loop
punchy noise sweep one shot, 2-step character, filter whoosh, compressed, no drums, no melody, no tonal pitch, no loop
hollow noise sweep one shot, glitch character, airy motion, filtered, no drums, no melody, no tonal pitch, no loop
2-step noise sweep one shot, filter whoosh, short whoosh, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
trance noise sweep one shot, white noise sweep, smooth sweep, clean studio sample, no drums, no melody, no tonal pitch, no loop
synthwave noise sweep one shot, filter whoosh, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
dusty noise sweep one shot, memphis character, filter whoosh, analog, no drums, no melody, no tonal pitch, no loop
trap noise sweep one shot, airy motion, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
acid techno noise sweep one shot, noise transition, smooth sweep, lo-fi, no drums, no melody, no tonal pitch, no loop
synthwave noise sweep one shot, airy motion, short whoosh, analog, no drums, no melody, no tonal pitch, no loop
uk garage noise sweep one shot, filter whoosh, filtered tail, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
ambient techno noise sweep one shot, airy motion, filtered tail, tape-saturated, no drums, no melody, no tonal pitch, no loop
deep house crisp noise sweep one shot, filter whoosh, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
trance punchy noise sweep one shot, filter whoosh, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
mellow noise sweep one shot, uk garage character, white noise sweep, dry, no drums, no melody, no tonal pitch, no loop
trap edm noise sweep one shot, filter whoosh, rising-falling motion, mono-compatible, no drums, no melody, no tonal pitch, no loop
aggressive noise sweep one shot, breakbeat character, airy motion, dry, no drums, no melody, no tonal pitch, no loop
aggressive noise sweep one shot, drum and bass character, white noise sweep, lo-fi, no drums, no melody, no tonal pitch, no loop
deep house airy noise sweep one shot, noise transition, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
tech house bright noise sweep one shot, noise transition, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
breakbeat noise sweep one shot, noise transition, rising-falling motion, clean studio sample, no drums, no melody, no tonal pitch, no loop
airy noise sweep one shot, future bass character, airy motion, saturated, no drums, no melody, no tonal pitch, no loop
memphis noise sweep one shot, white noise sweep, filtered tail, lo-fi, no drums, no melody, no tonal pitch, no loop
clean noise sweep one shot, progressive house character, airy motion, lo-fi, no drums, no melody, no tonal pitch, no loop
bright noise sweep one shot, breakbeat character, airy motion, saturated, no drums, no melody, no tonal pitch, no loop
soundtrack saturated noise sweep one shot, noise transition, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
drum and bass warm noise sweep one shot, white noise sweep, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
uk garage noise sweep one shot, airy motion, smooth sweep, compressed, no drums, no melody, no tonal pitch, no loop
dusty noise sweep one shot, electro character, noise transition, saturated, no drums, no melody, no tonal pitch, no loop
progressive house noise sweep one shot, filter whoosh, rising-falling motion, filtered, no drums, no melody, no tonal pitch, no loop
dubstep noise sweep one shot, filter whoosh, short whoosh, compressed, no drums, no melody, no tonal pitch, no loop
hardstyle punchy noise sweep one shot, white noise sweep, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
aggressive noise sweep one shot, tech house character, airy motion, tape-saturated, no drums, no melody, no tonal pitch, no loop
memphis vintage noise sweep one shot, white noise sweep, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
wide noise sweep one shot, trap edm character, filter whoosh, dry, no drums, no melody, no tonal pitch, no loop
future bass noise sweep one shot, filter whoosh, short whoosh, lo-fi, no drums, no melody, no tonal pitch, no loop
glassy noise sweep one shot, trance character, noise transition, analog, no drums, no melody, no tonal pitch, no loop
electro noise sweep one shot, airy motion, rising-falling motion, saturated, no drums, no melody, no tonal pitch, no loop
classical noise sweep one shot, noise transition, rising-falling motion, filtered, no drums, no melody, no tonal pitch, no loop
drum and bass punchy noise sweep one shot, filter whoosh, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
hollow noise sweep one shot, future bass character, white noise sweep, saturated, no drums, no melody, no tonal pitch, no loop
techno crisp noise sweep one shot, noise transition, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
deep house noise sweep one shot, filter whoosh, short whoosh, analog, no drums, no melody, no tonal pitch, no loop
hip-hop noise sweep one shot, filter whoosh, short whoosh, clean studio sample, no drums, no melody, no tonal pitch, no loop
fat noise sweep one shot, tech house character, noise transition, dry, no drums, no melody, no tonal pitch, no loop
woody noise sweep one shot, ambient techno character, noise transition, filtered, no drums, no melody, no tonal pitch, no loop
minimal techno dusty noise sweep one shot, noise transition, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
uk garage warm noise sweep one shot, noise transition, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
bright noise sweep one shot, trap edm character, airy motion, dry, no drums, no melody, no tonal pitch, no loop
wide noise sweep one shot, synthwave character, airy motion, lo-fi, no drums, no melody, no tonal pitch, no loop
tech house noise sweep one shot, white noise sweep, rising-falling motion, tape-saturated, no drums, no melody, no tonal pitch, no loop
breakbeat noise sweep one shot, noise transition, rising-falling motion, saturated, no drums, no melody, no tonal pitch, no loop
deep house noise sweep one shot, noise transition, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
clean noise sweep one shot, electro character, white noise sweep, mono-compatible, no drums, no melody, no tonal pitch, no loop
ambient noise sweep one shot, airy motion, smooth sweep, lo-fi, no drums, no melody, no tonal pitch, no loop
r&b noise sweep one shot, noise transition, filtered tail, analog, no drums, no melody, no tonal pitch, no loop
aggressive noise sweep one shot, progressive house character, white noise sweep, dry, no drums, no melody, no tonal pitch, no loop
2-step woody noise sweep one shot, white noise sweep, filtered tail, dry, no drums, no melody, no tonal pitch, no loop
saturated noise sweep one shot, trap edm character, airy motion, analog, no drums, no melody, no tonal pitch, no loop
big room noise sweep one shot, airy motion, smooth sweep, saturated, no drums, no melody, no tonal pitch, no loop
synthwave noise sweep one shot, white noise sweep, filtered tail, clean studio sample, no drums, no melody, no tonal pitch, no loop
drum and bass noise sweep one shot, airy motion, short whoosh, filtered, no drums, no melody, no tonal pitch, no loop
detuned noise sweep one shot, synthwave character, noise transition, mono-compatible, no drums, no melody, no tonal pitch, no loop
mellow noise sweep one shot, glitch character, white noise sweep, mono-compatible, no drums, no melody, no tonal pitch, no loop
electro noise sweep one shot, filter whoosh, filtered tail, lo-fi, no drums, no melody, no tonal pitch, no loop
glitch noise sweep one shot, airy motion, short whoosh, lo-fi, no drums, no melody, no tonal pitch, no loop
synthwave noise sweep one shot, airy motion, rising-falling motion, analog, no drums, no melody, no tonal pitch, no loop
hip-hop aggressive noise sweep one shot, airy motion, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
phonk smooth noise sweep one shot, noise transition, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
glassy noise sweep one shot, uk garage character, white noise sweep, compressed, no drums, no melody, no tonal pitch, no loop
progressive house noise sweep one shot, white noise sweep, smooth sweep, mono-compatible, no drums, no melody, no tonal pitch, no loop
glitch noise sweep one shot, filter whoosh, rising-falling motion, clean studio sample, no drums, no melody, no tonal pitch, no loop
melodic techno noise sweep one shot, filter whoosh, smooth sweep, lo-fi, no drums, no melody, no tonal pitch, no loop
bright noise sweep one shot, ambient techno character, noise transition, saturated, no drums, no melody, no tonal pitch, no loop
minimal techno wide noise sweep one shot, filter whoosh, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
future bass detuned noise sweep one shot, airy motion, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
dusty noise sweep one shot, melodic techno character, white noise sweep, filtered, no drums, no melody, no tonal pitch, no loop
trap edm noise sweep one shot, filter whoosh, smooth sweep, compressed, no drums, no melody, no tonal pitch, no loop
glitch saturated noise sweep one shot, white noise sweep, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
acid techno metallic noise sweep one shot, filter whoosh, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
synthwave wide noise sweep one shot, noise transition, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
big room noise sweep one shot, filter whoosh, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
warm noise sweep one shot, phonk character, noise transition, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
warm noise sweep one shot, trance character, noise transition, dry, no drums, no melody, no tonal pitch, no loop
drill noise sweep one shot, white noise sweep, short whoosh, filtered, no drums, no melody, no tonal pitch, no loop
breakbeat hollow noise sweep one shot, airy motion, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
dark noise sweep one shot, glitch character, noise transition, filtered, no drums, no melody, no tonal pitch, no loop
trance noise sweep one shot, noise transition, short whoosh, tape-saturated, no drums, no melody, no tonal pitch, no loop
breakbeat mellow noise sweep one shot, filter whoosh, smooth sweep, dry, no drums, no melody, no tonal pitch, no loop
electro noise sweep one shot, noise transition, rising-falling motion, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
progressive house saturated noise sweep one shot, noise transition, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
phonk noise sweep one shot, noise transition, short whoosh, analog, no drums, no melody, no tonal pitch, no loop
detuned noise sweep one shot, tech house character, noise transition, lo-fi, no drums, no melody, no tonal pitch, no loop
bright noise sweep one shot, techno character, white noise sweep, mono-compatible, no drums, no melody, no tonal pitch, no loop
drum and bass clean noise sweep one shot, airy motion, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
west coast crisp noise sweep one shot, filter whoosh, rising-falling motion, dry, no drums, no melody, no tonal pitch, no loop
acid techno noise sweep one shot, noise transition, short whoosh, saturated, no drums, no melody, no tonal pitch, no loop
ambient techno metallic noise sweep one shot, airy motion, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
neo-soul noise sweep one shot, white noise sweep, short whoosh, dry, no drums, no melody, no tonal pitch, no loop
dark noise sweep one shot, hardstyle character, noise transition, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
phonk noise sweep one shot, airy motion, smooth sweep, tape-saturated, no drums, no melody, no tonal pitch, no loop
glassy noise sweep one shot, drum and bass character, white noise sweep, filtered, no drums, no melody, no tonal pitch, no loop
future bass noise sweep one shot, noise transition, smooth sweep, analog, no drums, no melody, no tonal pitch, no loop
lush noise sweep one shot, synthwave character, airy motion, tape-saturated, no drums, no melody, no tonal pitch, no loop
dusty noise sweep one shot, hardstyle character, white noise sweep, vinyl-warmed, no drums, no melody, no tonal pitch, no loop
deep house noise sweep one shot, noise transition, rising-falling motion, clean studio sample, no drums, no melody, no tonal pitch, no loop
