# =========================================================================
# sub-drop — unpitched one-shots. ~200 prompts.
# Style mix (generated lines): ~80% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
fat sub drop one shot, acid techno character, pure sine sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
vintage sub drop one shot, 2-step character, pure sine sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
lush sub drop one shot, uk garage character, deep tuned low end, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
chamber sub drop one shot, deep tuned low end, boomy sustain, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
uk garage sub drop one shot, pure sine sub, fast decay, analog, no hi hats, no snare, no mid frequencies, no click, no loop
glassy sub drop one shot, uk garage character, tight controlled sub, analog, no hi hats, no snare, no mid frequencies, no click, no loop
west coast vintage sub drop one shot, pure sine sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
crisp sub drop one shot, hardstyle character, pure sine sub, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
uk garage sub drop one shot, tight controlled sub, long smooth decay, filtered, no hi hats, no snare, no mid frequencies, no click, no loop
techno sub drop one shot, pure sine sub, fast decay, lo-fi, no hi hats, no snare, no mid frequencies, no click, no loop
dark sub drop one shot, glitch character, deep tuned low end, dry, no hi hats, no snare, no mid frequencies, no click, no loop
minimal techno sub drop one shot, tight controlled sub, slow sub tail, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
glitch detuned sub drop one shot, gritty saturated sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
lo-fi hip-hop detuned sub drop one shot, tight controlled sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
saturated sub drop one shot, ambient techno character, tight controlled sub, saturated, no hi hats, no snare, no mid frequencies, no click, no loop
aggressive sub drop one shot, 2-step character, gritty saturated sub, lo-fi, no hi hats, no snare, no mid frequencies, no click, no loop
ambient techno punchy sub drop one shot, gritty saturated sub, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
uk garage lush sub drop one shot, gritty saturated sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
2-step clean sub drop one shot, deep tuned low end, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
ambient techno punchy sub drop one shot, deep tuned low end, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
fat sub drop one shot, electro character, deep tuned low end, analog, no hi hats, no snare, no mid frequencies, no click, no loop
melodic techno dusty sub drop one shot, deep tuned low end, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
phonk metallic sub drop one shot, pure sine sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
west coast woody sub drop one shot, pure sine sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
2-step sub drop one shot, tight controlled sub, long smooth decay, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
lo-fi hip-hop sub drop one shot, deep tuned low end, long smooth decay, filtered, no hi hats, no snare, no mid frequencies, no click, no loop
tech house sub drop one shot, gritty saturated sub, boomy sustain, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
glassy sub drop one shot, memphis character, pure sine sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
neo-soul sub drop one shot, gritty saturated sub, boomy sustain, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
electro sub drop one shot, gritty saturated sub, long smooth decay, filtered, no hi hats, no snare, no mid frequencies, no click, no loop
airy sub drop one shot, minimal techno character, tight controlled sub, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
2-step sub drop one shot, pure sine sub, boomy sustain, saturated, no hi hats, no snare, no mid frequencies, no click, no loop
hollow sub drop one shot, drill character, tight controlled sub, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
woody sub drop one shot, 2-step character, tight controlled sub, analog, no hi hats, no snare, no mid frequencies, no click, no loop
drum and bass sub drop one shot, gritty saturated sub, slow sub tail, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
r&b sub drop one shot, tight controlled sub, boomy sustain, saturated, no hi hats, no snare, no mid frequencies, no click, no loop
woody sub drop one shot, progressive house character, pure sine sub, saturated, no hi hats, no snare, no mid frequencies, no click, no loop
trap edm fat sub drop one shot, gritty saturated sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
vintage sub drop one shot, hardstyle character, tight controlled sub, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
cloud rap saturated sub drop one shot, deep tuned low end, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
hardstyle bright sub drop one shot, tight controlled sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
soundtrack sub drop one shot, tight controlled sub, slow sub tail, analog, no hi hats, no snare, no mid frequencies, no click, no loop
trap edm sub drop one shot, tight controlled sub, slow sub tail, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
detuned sub drop one shot, acid techno character, tight controlled sub, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
detuned sub drop one shot, progressive house character, deep tuned low end, dry, no hi hats, no snare, no mid frequencies, no click, no loop
ambient techno punchy sub drop one shot, tight controlled sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
acid techno dusty sub drop one shot, deep tuned low end, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
big room sub drop one shot, pure sine sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
deep house sub drop one shot, gritty saturated sub, boomy sustain, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
big room glassy sub drop one shot, tight controlled sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
gritty sub drop one shot, big room character, pure sine sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
punchy sub drop one shot, 2-step character, tight controlled sub, filtered, no hi hats, no snare, no mid frequencies, no click, no loop
jazz saturated sub drop one shot, tight controlled sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
synthwave sub drop one shot, deep tuned low end, fast decay, lo-fi, no hi hats, no snare, no mid frequencies, no click, no loop
punchy sub drop one shot, progressive house character, tight controlled sub, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
minimal techno mellow sub drop one shot, tight controlled sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
punchy sub drop one shot, ambient techno character, deep tuned low end, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
dark sub drop one shot, trance character, tight controlled sub, saturated, no hi hats, no snare, no mid frequencies, no click, no loop
dark sub drop one shot, r&b character, gritty saturated sub, tape-saturated, no hi hats, no snare, no mid frequencies, no click, no loop
airy sub drop one shot, big room character, deep tuned low end, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
dark sub drop one shot, lo-fi hip-hop character, gritty saturated sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
hollow sub drop one shot, breakbeat character, deep tuned low end, dry, no hi hats, no snare, no mid frequencies, no click, no loop
techno sub drop one shot, pure sine sub, slow sub tail, lo-fi, no hi hats, no snare, no mid frequencies, no click, no loop
smooth sub drop one shot, synthwave character, gritty saturated sub, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
lo-fi hip-hop aggressive sub drop one shot, pure sine sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
vintage sub drop one shot, drill character, pure sine sub, lo-fi, no hi hats, no snare, no mid frequencies, no click, no loop
wide sub drop one shot, phonk character, pure sine sub, lo-fi, no hi hats, no snare, no mid frequencies, no click, no loop
progressive house vintage sub drop one shot, tight controlled sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
boom bap sub drop one shot, pure sine sub, long smooth decay, saturated, no hi hats, no snare, no mid frequencies, no click, no loop
punchy sub drop one shot, glitch character, gritty saturated sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
r&b punchy sub drop one shot, tight controlled sub, long smooth decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
wide sub drop one shot, progressive house character, tight controlled sub, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
trance aggressive sub drop one shot, deep tuned low end, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
bright sub drop one shot, trap edm character, pure sine sub, lo-fi, no hi hats, no snare, no mid frequencies, no click, no loop
orchestral sub drop one shot, tight controlled sub, slow sub tail, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
lo-fi hip-hop sub drop one shot, tight controlled sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
big room sub drop one shot, gritty saturated sub, slow sub tail, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
dusty sub drop one shot, tech house character, gritty saturated sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
ambient techno bright sub drop one shot, pure sine sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
tech house sub drop one shot, tight controlled sub, long smooth decay, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
hollow sub drop one shot, ambient character, deep tuned low end, mono-compatible, no hi hats, no snare, no mid frequencies, no click, no loop
dusty sub drop one shot, drum and bass character, tight controlled sub, compressed, no hi hats, no snare, no mid frequencies, no click, no loop
airy sub drop one shot, uk garage character, gritty saturated sub, dry, no hi hats, no snare, no mid frequencies, no click, no loop
lush sub drop one shot, boom bap character, deep tuned low end, tape-saturated, no hi hats, no snare, no mid frequencies, no click, no loop
clean sub drop one shot, trap edm character, deep tuned low end, saturated, no hi hats, no snare, no mid frequencies, no click, no loop
tech house sub drop one shot, pure sine sub, slow sub tail, filtered, no hi hats, no snare, no mid frequencies, no click, no loop
bright sub drop one shot, trap edm character, deep tuned low end, vinyl-warmed, no hi hats, no snare, no mid frequencies, no click, no loop
melodic techno aggressive sub drop one shot, gritty saturated sub, slow sub tail, dry, no hi hats, no snare, no mid frequencies, no click, no loop
neo-soul lush sub drop one shot, pure sine sub, fast decay, dry, no hi hats, no snare, no mid frequencies, no click, no loop
hollow sub drop one shot, acid techno character, gritty saturated sub, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
hollow sub drop one shot, drum and bass character, pure sine sub, clean studio sample, no hi hats, no snare, no mid frequencies, no click, no loop
warm sub drop one shot, hardstyle character, tight controlled sub, analog, no hi hats, no snare, no mid frequencies, no click, no loop
deep house aggressive sub drop one shot, tight controlled sub, boomy sustain, dry, no hi hats, no snare, no mid frequencies, no click, no loop
