# =========================================================================
# zap — unpitched one-shots. ~200 prompts.
# Style mix (generated lines): ~80% EDM/electronic. EDM-forward, full spectrum.
# Generated by gen_prompts.py (deterministic). Curated lines preserved on top.
# =========================================================================

# --- generated (combinatorial) ---
trap zap one shot, synthetic spark, quick blip, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
glitch detuned zap one shot, synthetic spark, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
tech house mellow zap one shot, digital chirp, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
jazz saturated zap one shot, digital chirp, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
mellow zap one shot, electro character, synthetic spark, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
melodic techno zap one shot, digital chirp, snappy tail, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
gritty zap one shot, ambient techno character, digital chirp, clean studio sample, no drums, no melody, no sustained tone, no long decay, no loop
glitch hollow zap one shot, synthetic spark, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
2-step zap one shot, synthetic spark, very short decay, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
melodic techno woody zap one shot, bright electric zap, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
acid techno zap one shot, synthetic spark, tight decay, vinyl-warmed, no drums, no melody, no sustained tone, no long decay, no loop
drum and bass zap one shot, digital chirp, snappy tail, analog, no drums, no melody, no sustained tone, no long decay, no loop
lush zap one shot, synthwave character, laser blip, filtered, no drums, no melody, no sustained tone, no long decay, no loop
future bass zap one shot, synthetic spark, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
neo-soul airy zap one shot, synthetic spark, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
future bass zap one shot, digital chirp, quick blip, analog, no drums, no melody, no sustained tone, no long decay, no loop
warm zap one shot, ambient techno character, synthetic spark, compressed, no drums, no melody, no sustained tone, no long decay, no loop
dubstep wide zap one shot, digital chirp, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
airy zap one shot, acid techno character, digital chirp, clean studio sample, no drums, no melody, no sustained tone, no long decay, no loop
detuned zap one shot, acid techno character, bright electric zap, dry, no drums, no melody, no sustained tone, no long decay, no loop
dusty zap one shot, phonk character, synthetic spark, dry, no drums, no melody, no sustained tone, no long decay, no loop
big room zap one shot, laser blip, very short decay, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
dusty zap one shot, ambient techno character, laser blip, analog, no drums, no melody, no sustained tone, no long decay, no loop
woody zap one shot, deep house character, digital chirp, dry, no drums, no melody, no sustained tone, no long decay, no loop
big room saturated zap one shot, bright electric zap, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
minimal techno zap one shot, laser blip, quick blip, analog, no drums, no melody, no sustained tone, no long decay, no loop
airy zap one shot, synthwave character, bright electric zap, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
airy zap one shot, deep house character, synthetic spark, vinyl-warmed, no drums, no melody, no sustained tone, no long decay, no loop
phonk mellow zap one shot, synthetic spark, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
lo-fi hip-hop zap one shot, bright electric zap, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
acid techno wide zap one shot, bright electric zap, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
airy zap one shot, progressive house character, synthetic spark, clean studio sample, no drums, no melody, no sustained tone, no long decay, no loop
tech house zap one shot, digital chirp, snappy tail, analog, no drums, no melody, no sustained tone, no long decay, no loop
ambient techno saturated zap one shot, laser blip, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
airy zap one shot, acid techno character, laser blip, filtered, no drums, no melody, no sustained tone, no long decay, no loop
saturated zap one shot, tech house character, bright electric zap, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
vintage zap one shot, trap edm character, laser blip, clean studio sample, no drums, no melody, no sustained tone, no long decay, no loop
2-step detuned zap one shot, synthetic spark, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
glitch zap one shot, laser blip, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
uk garage zap one shot, bright electric zap, tight decay, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
trap edm crisp zap one shot, synthetic spark, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
melodic techno bright zap one shot, synthetic spark, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
synthwave woody zap one shot, bright electric zap, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
detuned zap one shot, synthwave character, digital chirp, compressed, no drums, no melody, no sustained tone, no long decay, no loop
saturated zap one shot, breakbeat character, digital chirp, compressed, no drums, no melody, no sustained tone, no long decay, no loop
big room wide zap one shot, synthetic spark, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
neo-soul zap one shot, synthetic spark, tight decay, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
crisp zap one shot, chamber character, laser blip, compressed, no drums, no melody, no sustained tone, no long decay, no loop
uk garage zap one shot, digital chirp, quick blip, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
cloud rap zap one shot, digital chirp, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
ambient techno zap one shot, synthetic spark, snappy tail, saturated, no drums, no melody, no sustained tone, no long decay, no loop
synthwave zap one shot, digital chirp, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
future bass zap one shot, laser blip, snappy tail, compressed, no drums, no melody, no sustained tone, no long decay, no loop
vintage zap one shot, 2-step character, synthetic spark, saturated, no drums, no melody, no sustained tone, no long decay, no loop
electro zap one shot, synthetic spark, tight decay, clean studio sample, no drums, no melody, no sustained tone, no long decay, no loop
dark zap one shot, drum and bass character, bright electric zap, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
techno zap one shot, laser blip, quick blip, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
warm zap one shot, cloud rap character, bright electric zap, compressed, no drums, no melody, no sustained tone, no long decay, no loop
r&b zap one shot, bright electric zap, quick blip, filtered, no drums, no melody, no sustained tone, no long decay, no loop
breakbeat woody zap one shot, laser blip, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
future bass vintage zap one shot, bright electric zap, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
drill zap one shot, digital chirp, quick blip, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
fat zap one shot, neo-soul character, digital chirp, saturated, no drums, no melody, no sustained tone, no long decay, no loop
chamber zap one shot, laser blip, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
big room zap one shot, bright electric zap, tight decay, lo-fi, no drums, no melody, no sustained tone, no long decay, no loop
smooth zap one shot, synthwave character, digital chirp, dry, no drums, no melody, no sustained tone, no long decay, no loop
warm zap one shot, dubstep character, bright electric zap, compressed, no drums, no melody, no sustained tone, no long decay, no loop
trap edm zap one shot, bright electric zap, snappy tail, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
drum and bass zap one shot, digital chirp, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
deep house vintage zap one shot, synthetic spark, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
ambient techno zap one shot, bright electric zap, quick blip, lo-fi, no drums, no melody, no sustained tone, no long decay, no loop
breakbeat zap one shot, bright electric zap, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
gritty zap one shot, world character, digital chirp, dry, no drums, no melody, no sustained tone, no long decay, no loop
woody zap one shot, hip-hop character, laser blip, saturated, no drums, no melody, no sustained tone, no long decay, no loop
progressive house dark zap one shot, laser blip, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
trance bright zap one shot, digital chirp, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
hardstyle zap one shot, synthetic spark, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
minimal techno woody zap one shot, synthetic spark, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
drum and bass gritty zap one shot, digital chirp, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
punchy zap one shot, synthwave character, laser blip, analog, no drums, no melody, no sustained tone, no long decay, no loop
techno zap one shot, digital chirp, tight decay, lo-fi, no drums, no melody, no sustained tone, no long decay, no loop
deep house zap one shot, laser blip, quick blip, analog, no drums, no melody, no sustained tone, no long decay, no loop
soundtrack metallic zap one shot, laser blip, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
metallic zap one shot, uk garage character, laser blip, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
future bass punchy zap one shot, digital chirp, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
detuned zap one shot, boom bap character, synthetic spark, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
cinematic metallic zap one shot, synthetic spark, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
hip-hop smooth zap one shot, laser blip, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
wide zap one shot, uk garage character, bright electric zap, analog, no drums, no melody, no sustained tone, no long decay, no loop
progressive house zap one shot, digital chirp, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
hardstyle zap one shot, synthetic spark, very short decay, compressed, no drums, no melody, no sustained tone, no long decay, no loop
clean zap one shot, soundtrack character, digital chirp, dry, no drums, no melody, no sustained tone, no long decay, no loop
punchy zap one shot, electro character, bright electric zap, filtered, no drums, no melody, no sustained tone, no long decay, no loop
trap dark zap one shot, digital chirp, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
trap edm zap one shot, bright electric zap, quick blip, analog, no drums, no melody, no sustained tone, no long decay, no loop
crisp zap one shot, trance character, laser blip, saturated, no drums, no melody, no sustained tone, no long decay, no loop
folk metallic zap one shot, laser blip, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
metallic zap one shot, trap edm character, digital chirp, compressed, no drums, no melody, no sustained tone, no long decay, no loop
bright zap one shot, trap edm character, laser blip, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
glassy zap one shot, breakbeat character, bright electric zap, saturated, no drums, no melody, no sustained tone, no long decay, no loop
hip-hop lush zap one shot, synthetic spark, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
acid techno zap one shot, laser blip, snappy tail, vinyl-warmed, no drums, no melody, no sustained tone, no long decay, no loop
techno smooth zap one shot, bright electric zap, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
progressive house zap one shot, synthetic spark, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
drum and bass zap one shot, bright electric zap, very short decay, compressed, no drums, no melody, no sustained tone, no long decay, no loop
dark zap one shot, electro character, laser blip, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
dark zap one shot, big room character, digital chirp, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
memphis smooth zap one shot, laser blip, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
dubstep mellow zap one shot, laser blip, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
hip-hop zap one shot, synthetic spark, snappy tail, mono-compatible, no drums, no melody, no sustained tone, no long decay, no loop
future bass zap one shot, bright electric zap, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
techno zap one shot, digital chirp, snappy tail, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
clean zap one shot, progressive house character, laser blip, saturated, no drums, no melody, no sustained tone, no long decay, no loop
breakbeat zap one shot, synthetic spark, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
gritty zap one shot, jazz character, digital chirp, compressed, no drums, no melody, no sustained tone, no long decay, no loop
uk garage zap one shot, synthetic spark, tight decay, lo-fi, no drums, no melody, no sustained tone, no long decay, no loop
breakbeat zap one shot, bright electric zap, quick blip, compressed, no drums, no melody, no sustained tone, no long decay, no loop
gritty zap one shot, progressive house character, laser blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
2-step hollow zap one shot, digital chirp, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
techno dark zap one shot, bright electric zap, quick blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
lo-fi hip-hop zap one shot, synthetic spark, quick blip, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
2-step smooth zap one shot, laser blip, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
trance zap one shot, digital chirp, snappy tail, vinyl-warmed, no drums, no melody, no sustained tone, no long decay, no loop
trance vintage zap one shot, digital chirp, snappy tail, dry, no drums, no melody, no sustained tone, no long decay, no loop
aggressive zap one shot, 2-step character, laser blip, saturated, no drums, no melody, no sustained tone, no long decay, no loop
saturated zap one shot, acid techno character, synthetic spark, vinyl-warmed, no drums, no melody, no sustained tone, no long decay, no loop
clean zap one shot, glitch character, synthetic spark, analog, no drums, no melody, no sustained tone, no long decay, no loop
techno mellow zap one shot, laser blip, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
tech house zap one shot, bright electric zap, quick blip, filtered, no drums, no melody, no sustained tone, no long decay, no loop
melodic techno hollow zap one shot, synthetic spark, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
gritty zap one shot, minimal techno character, laser blip, dry, no drums, no melody, no sustained tone, no long decay, no loop
detuned zap one shot, synthwave character, synthetic spark, compressed, no drums, no melody, no sustained tone, no long decay, no loop
gritty zap one shot, 2-step character, digital chirp, analog, no drums, no melody, no sustained tone, no long decay, no loop
vintage zap one shot, progressive house character, digital chirp, clean studio sample, no drums, no melody, no sustained tone, no long decay, no loop
progressive house zap one shot, bright electric zap, tight decay, tape-saturated, no drums, no melody, no sustained tone, no long decay, no loop
hardstyle metallic zap one shot, laser blip, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
r&b bright zap one shot, bright electric zap, tight decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
2-step zap one shot, laser blip, tight decay, lo-fi, no drums, no melody, no sustained tone, no long decay, no loop
clean zap one shot, future bass character, laser blip, analog, no drums, no melody, no sustained tone, no long decay, no loop
acid techno gritty zap one shot, laser blip, very short decay, dry, no drums, no melody, no sustained tone, no long decay, no loop
